JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg
   211.500,   1,  0.22878137E+05,   0.00000000E+00,   0.00000000E+00,   0.97585151E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.31434897E+04,   0.36874080E+03,   0.59542450E+05,   0.00000000E+00,   0.62163484E+06,   0.00000000E+00,   0.00000000E+00,   0.10219327E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45640648E+05,   0.34178893E+02,   0.00000000E+00,   0.59534434E+06,   0.00000000E+00,
   218.500,   1,  0.23422376E+05,   0.00000000E+00,   0.00000000E+00,   0.99371075E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.32627143E+04,   0.38530686E+03,   0.72152314E+05,   0.00000000E+00,   0.62414847E+06,   0.00000000E+00,   0.00000000E+00,   0.10392995E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45956098E+05,   0.35703402E+02,   0.00000000E+00,   0.72144298E+06,   0.00000000E+00,
   225.500,   1,  0.23682053E+05,   0.00000000E+00,   0.00000000E+00,   0.10249250E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33310646E+04,   0.40177248E+03,   0.85750205E+05,   0.00000000E+00,   0.62244150E+06,   0.00000000E+00,   0.00000000E+00,   0.10674550E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.46208605E+05,   0.37222869E+02,   0.00000000E+00,   0.85742189E+06,   0.00000000E+00,
   232.500,   1,  0.24259669E+05,   0.00000000E+00,   0.00000000E+00,   0.10601866E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33669050E+04,   0.41806422E+03,   0.10326997E+06,   0.00000000E+00,   0.62130719E+06,   0.00000000E+00,   0.00000000E+00,   0.10982936E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.46485869E+05,   0.38730488E+02,   0.00000000E+00,   0.10326196E+07,   0.00000000E+00,
   239.500,   1,  0.25158120E+05,   0.00000000E+00,   0.00000000E+00,   0.10759249E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33798758E+04,   0.43289594E+03,   0.12403824E+06,   0.00000000E+00,   0.62451034E+06,   0.00000000E+00,   0.00000000E+00,   0.11112966E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.46796871E+05,   0.40106884E+02,   0.00000000E+00,   0.12403023E+07,   0.00000000E+00,
   246.500,   1,  0.26083537E+05,   0.00000000E+00,   0.00000000E+00,   0.10884666E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33904165E+04,   0.44763740E+03,   0.14681752E+06,   0.00000000E+00,   0.62754672E+06,   0.00000000E+00,   0.00000000E+00,   0.11208354E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.47029435E+05,   0.41478806E+02,   0.00000000E+00,   0.14677716E+07,   0.00000000E+00,
   253.500,   1,  0.27043980E+05,   0.00000000E+00,   0.00000000E+00,   0.11124914E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.34162022E+04,   0.46229153E+03,   0.17094900E+06,   0.00000000E+00,   0.63077381E+06,   0.00000000E+00,   0.00000000E+00,   0.11380241E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.47243019E+05,   0.42848218E+02,   0.00000000E+00,   0.17090864E+07,   0.00000000E+00,
   260.500,   1,  0.27963157E+05,   0.00000000E+00,   0.00000000E+00,   0.11459668E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.34397919E+04,   0.47688238E+03,   0.19551708E+06,   0.00000000E+00,   0.63474792E+06,   0.00000000E+00,   0.00000000E+00,   0.11603856E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.47509030E+05,   0.44227482E+02,   0.00000000E+00,   0.19547672E+07,   0.00000000E+00,
   267.500,   1,  0.28377659E+05,   0.00000000E+00,   0.00000000E+00,   0.11759858E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.34632218E+04,   0.49141393E+03,   0.21676525E+06,   0.00000000E+00,   0.63853974E+06,   0.00000000E+00,   0.00000000E+00,   0.11767130E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.47772332E+05,   0.45618651E+02,   0.00000000E+00,   0.21672489E+07,   0.00000000E+00,
   274.500,   1,  0.30124493E+05,   0.00000000E+00,   0.00000000E+00,   0.11890046E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.39397643E+04,   0.50616188E+03,   0.23413641E+06,   0.00000000E+00,   0.68131868E+06,   0.00000000E+00,   0.00000000E+00,   0.11822945E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.66269688E+05,   0.47048589E+02,   0.00000000E+00,   0.23409605E+07,   0.00000000E+00,
