JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg
   239.500,   1,  0.25308410E+05,   0.00000000E+00,   0.00000000E+00,   0.10762175E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33798827E+04,   0.43289544E+03,   0.12640114E+06,   0.00000000E+00,   0.62342816E+06,   0.00000000E+00,   0.00000000E+00,   0.11100617E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.46797083E+05,   0.40106843E+02,   0.47014901E+05,   0.12640068E+07,   0.00000000E+00,
   246.500,   1,  0.26224681E+05,   0.00000000E+00,   0.00000000E+00,   0.10887402E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33904234E+04,   0.44763685E+03,   0.14913611E+06,   0.00000000E+00,   0.62655652E+06,   0.00000000E+00,   0.00000000E+00,   0.11195717E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.47029646E+05,   0.41478761E+02,   0.49913776E+05,   0.14910319E+07,   0.00000000E+00,
   253.500,   1,  0.27183399E+05,   0.00000000E+00,   0.00000000E+00,   0.11128731E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.34162082E+04,   0.46229047E+03,   0.17333398E+06,   0.00000000E+00,   0.62968412E+06,   0.00000000E+00,   0.00000000E+00,   0.11367218E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.47243222E+05,   0.42848124E+02,   0.51823186E+05,   0.17330106E+07,   0.00000000E+00,
   260.500,   1,  0.28097875E+05,   0.00000000E+00,   0.00000000E+00,   0.11465236E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.34397986E+04,   0.47688172E+03,   0.19815386E+06,   0.00000000E+00,   0.63335164E+06,   0.00000000E+00,   0.00000000E+00,   0.11590240E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.47509239E+05,   0.44227425E+02,   0.54257718E+05,   0.19812094E+07,   0.00000000E+00,
   267.500,   1,  0.28536812E+05,   0.00000000E+00,   0.00000000E+00,   0.11771339E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.34632289E+04,   0.49141353E+03,   0.21960029E+06,   0.00000000E+00,   0.63728974E+06,   0.00000000E+00,   0.00000000E+00,   0.11753255E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.47772545E+05,   0.45618620E+02,   0.57040658E+05,   0.21956737E+07,   0.00000000E+00,
   274.500,   1,  0.30145353E+05,   0.00000000E+00,   0.00000000E+00,   0.11894670E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.39397798E+04,   0.50616112E+03,   0.23634675E+06,   0.00000000E+00,   0.67980764E+06,   0.00000000E+00,   0.00000000E+00,   0.11808118E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.66270182E+05,   0.47048522E+02,   0.59007749E+05,   0.23631383E+07,   0.00000000E+00,
   281.500,   1,  0.29953807E+05,   0.00000000E+00,   0.00000000E+00,   0.11955019E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.42145855E+04,   0.52196882E+03,   0.24761829E+06,   0.00000000E+00,   0.70088326E+06,   0.00000000E+00,   0.00000000E+00,   0.11833872E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.76994241E+05,   0.48600434E+02,   0.60715243E+05,   0.24758536E+07,   0.00000000E+00,
   288.500,   1,  0.29720574E+05,   0.00000000E+00,   0.00000000E+00,   0.12176954E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.42530375E+04,   0.53771157E+03,   0.25889159E+06,   0.00000000E+00,   0.69984208E+06,   0.00000000E+00,   0.00000000E+00,   0.11928274E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.77504263E+05,   0.50165413E+02,   0.62285077E+05,   0.25885866E+07,   0.00000000E+00,
   295.500,   1,  0.30312546E+05,   0.00000000E+00,   0.00000000E+00,   0.12393522E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44046047E+04,   0.55338767E+03,   0.27093300E+06,   0.00000000E+00,   0.71015351E+06,   0.00000000E+00,   0.00000000E+00,   0.12029769E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.79474636E+05,   0.51743289E+02,   0.63751217E+05,   0.27090008E+07,   0.00000000E+00,
   302.500,   1,  0.29914467E+05,   0.00000000E+00,   0.00000000E+00,   0.12657621E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44913929E+04,   0.56900004E+03,   0.28112444E+06,   0.00000000E+00,   0.71218948E+06,   0.00000000E+00,   0.00000000E+00,   0.12157062E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.80382943E+05,   0.53334356E+02,   0.64675181E+05,   0.28109152E+07,   0.00000000E+00,
   309.500,   1,  0.28802415E+05,   0.00000000E+00,   0.00000000E+00,   0.12987976E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45888619E+04,   0.58454699E+03,   0.28624534E+06,   0.00000000E+00,   0.71386161E+06,   0.00000000E+00,   0.00000000E+00,   0.12330919E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.81406395E+05,   0.54938444E+02,   0.65256652E+05,   0.28620228E+07,   0.00000000E+00,
   316.500,   1,  0.27940530E+05,   0.00000000E+00,   0.00000000E+00,   0.13156956E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.46289044E+04,   0.60003105E+03,   0.29003049E+06,   0.00000000E+00,   0.71246541E+06,   0.00000000E+00,   0.00000000E+00,   0.12411430E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.82085246E+05,   0.56555819E+02,   0.65960580E+05,   0.28998743E+07,   0.00000000E+00,
   323.500,   1,  0.28077221E+05,   0.00000000E+00,   0.00000000E+00,   0.13553073E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.48027258E+04,   0.61544877E+03,   0.29444702E+06,   0.00000000E+00,   0.71761974E+06,   0.00000000E+00,   0.00000000E+00,   0.12636599E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.83468024E+05,   0.58186121E+02,   0.66766602E+05,   0.29440395E+07,   0.00000000E+00,
   330.500,   1,  0.28736046E+05,   0.00000000E+00,   0.00000000E+00,   0.13888372E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.50252333E+04,   0.63080199E+03,   0.29638179E+06,   0.00000000E+00,   0.73393088E+06,   0.00000000E+00,   0.00000000E+00,   0.12830187E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.85124363E+05,   0.59829541E+02,   0.67123488E+05,   0.29633872E+07,   0.00000000E+00,
   337.500,   1,  0.28982263E+05,   0.00000000E+00,   0.00000000E+00,   0.14065011E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.50851027E+04,   0.64608260E+03,   0.29648537E+06,   0.00000000E+00,   0.74347025E+06,   0.00000000E+00,   0.00000000E+00,   0.12921894E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.86136849E+05,   0.61485202E+02,   0.67575283E+05,   0.29644231E+07,   0.00000000E+00,
   344.500,   1,  0.31782219E+05,   0.00000000E+00,   0.00000000E+00,   0.14892662E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.55313901E+04,   0.66126662E+03,   0.29655845E+06,   0.00000000E+00,   0.78604608E+06,   0.00000000E+00,   0.00000000E+00,   0.13424799E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.90423235E+05,   0.63150429E+02,   0.67895963E+05,   0.29651539E+07,   0.00000000E+00,
   351.500,   1,  0.36788902E+05,   0.00000000E+00,   0.00000000E+00,   0.16568901E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.63961014E+04,   0.67647351E+03,   0.29662801E+06,   0.00000000E+00,   0.87681124E+06,   0.00000000E+00,   0.00000000E+00,   0.14539476E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.97810116E+05,   0.64838434E+02,   0.68154377E+05,   0.29658495E+07,   0.00000000E+00,
   358.500,   1,  0.36310629E+05,   0.00000000E+00,   0.00000000E+00,   0.17143288E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.65075093E+04,   0.69156235E+03,   0.29668541E+06,   0.00000000E+00,   0.88539299E+06,   0.00000000E+00,   0.00000000E+00,   0.14907691E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.98981737E+05,   0.66533639E+02,   0.68401753E+05,   0.29664234E+07,   0.00000000E+00,
